ASN,Entity
42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location,"
43146,"Agava ltd, RU"
49505,"OOO Network of data-centers Selectel"
43289,"TRABIA trabia network, MD"
43317,"FISHNET-AS, RU"
43350,"NFORCE, NL"
44050,"PIN-AS, RU"
44066,"DE-FIRSTCOLO www.first-colo.net, DE"
45102,"CNNIC-ALIBABA-CN-NET-AP Alibaba (China) Technology Co., Ltd."
45187,RACKSPACE-AP Rackspace IT Hosting AS IT Hosting Provider Hon
45470,"SG-8-TO-SG 8 to Infinity Pte Ltd, SG"
45671,"AS45671-NET-AU Wholesale Services Provider, AU"
45815,"HOSTCOIN-AS-IN-AP ESDS Software Solution Pvt. Ltd., IN"
46261,"QUICKPACKET - QuickPacket, LLC, US"
46430,"ASN-VICTON - VICTON, Inc., CA"
46475,"LIMESTONENETWORKS - Limestone Networks, Inc., US"
46562,"TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C., US"
46664,"VOLUMEDRIVE - VolumeDrive, US"
46805,"CACHED - CachedNet LLC, US"
46816,"DSNETWORKS-001 - DirectSpace Networks, LLC., US"
46844,"ST-BGP - Sharktech, US"
47328,"TRI-AS, ES"
47447,"TTM, DE"
47588,"TELENETRONICS-AS, RS"
49349,"DOTSI, PT"
49367,"ASSEFLOW Amsterdam Internet Exchange (AMS-IX), IT"
49453,"GLOBALLAYER, NL"
49505,"SELECTEL, RU"
49532,"SERVERHUB-, DE"
49544,"I3DNET, NL"
49981,"WORLDSTREAM, NL"
50297,"INFIUM, UA"
50613,"THORDC-AS, IS"
50673,"SERVERIUS-AS, NL"
51159,"THINKSYSTEMSUK-ASN, GB"
51167,"CONTABO to AS1299 announce AS34933, DE"
51191,"XIRRA, DE"
51395,"AS-SOFTPLUS, CH"
51430,"ALTUSHOST-NET, NL"
51731,"GTT-AS, CZ"
51765,"ASEUHOST, FI"
51852,"PLI-AS, CH"
52048,"DATACLUB, LV"
52173,"MAKONIX, LV"
52219,"ROUTERNETWORKS, US"
53013,"WIX NET DO BRASIL LTDA, BR"
53340,"FIBERHUB - VegasNAP, LLC, US"
53559,"ANONYMIZER - Anonymizer Inc., US"
53597,"HOYOS-CONSULTING-LLC - Hoyos Consulting LLC, US"
53667,"PONYNET - FranTech Solutions, US"
53755,"IOFLOOD - Input Output Flood LLC, US"
53850,"GORILLASERVERS - GorillaServers, Inc., US"
53889,"MICFO - Micfo, LLC., US"
54104,"AS-NETDNA - netDNA, US"
54203,"RBLHST-FL - Strong Technology, LLC., US"
54455,"MADEIT - MadeIT inc., US"
54489,"CORESPACE-DAL - CoreSpace, Inc., US"
54500,"18779 - EGIHosting, US"
54540,"INCERO - Incero LLC, US"
55225,"ILIKA - velia.net (USA) Inc., US"
